Player 1,Player 2,Player 1 score,Player 2 score,Winner
"RL Agent, 10",Random,3,22,Player 2
"RL Agent, 10",Random,14,11,Player 1
"RL Agent, 10",Random,11,14,Player 2
"RL Agent, 10",Random,14,11,Player 1
"RL Agent, 10",Random,14,11,Player 1
"RL Agent, 10",Random,13,12,Player 1
"RL Agent, 10",Random,10,15,Player 2
"RL Agent, 10",Random,13,12,Player 1
"RL Agent, 10",Random,13,12,Player 1
"RL Agent, 10",Random,12,13,Player 2
Random,"RL Agent, 10",19,6,Player 1
Random,"RL Agent, 10",19,6,Player 1
Random,"RL Agent, 10",6,19,Player 2
Random,"RL Agent, 10",3,22,Player 2
Random,"RL Agent, 10",11,14,Player 2
Random,"RL Agent, 10",21,4,Player 1
Random,"RL Agent, 10",13,12,Player 1
Random,"RL Agent, 10",8,17,Player 2
Random,"RL Agent, 10",6,19,Player 2
Random,"RL Agent, 10",11,14,Player 2
"RL Agent, 100",Random,4,21,Player 2
"RL Agent, 100",Random,23,2,Player 1
"RL Agent, 100",Random,16,9,Player 1
"RL Agent, 100",Random,6,19,Player 2
"RL Agent, 100",Random,3,22,Player 2
"RL Agent, 100",Random,7,18,Player 2
"RL Agent, 100",Random,16,9,Player 1
"RL Agent, 100",Random,8,17,Player 2
"RL Agent, 100",Random,4,21,Player 2
"RL Agent, 100",Random,11,14,Player 2
Random,"RL Agent, 100",19,6,Player 1
Random,"RL Agent, 100",17,8,Player 1
Random,"RL Agent, 100",5,20,Player 2
Random,"RL Agent, 100",6,19,Player 2
Random,"RL Agent, 100",12,13,Player 2
Random,"RL Agent, 100",6,19,Player 2
Random,"RL Agent, 100",20,5,Player 1
Random,"RL Agent, 100",24,1,Player 1
Random,"RL Agent, 100",20,5,Player 1
Random,"RL Agent, 100",21,4,Player 1
"RL Agent, 500",Random,7,18,Player 2
"RL Agent, 500",Random,4,21,Player 2
"RL Agent, 500",Random,14,11,Player 1
"RL Agent, 500",Random,19,6,Player 1
"RL Agent, 500",Random,21,4,Player 1
"RL Agent, 500",Random,12,13,Player 2
"RL Agent, 500",Random,18,7,Player 1
"RL Agent, 500",Random,7,18,Player 2
"RL Agent, 500",Random,12,13,Player 2
"RL Agent, 500",Random,15,10,Player 1
Random,"RL Agent, 500",16,9,Player 1
Random,"RL Agent, 500",7,18,Player 2
Random,"RL Agent, 500",11,14,Player 2
Random,"RL Agent, 500",14,11,Player 1
Random,"RL Agent, 500",16,9,Player 1
Random,"RL Agent, 500",10,15,Player 2
Random,"RL Agent, 500",7,18,Player 2
Random,"RL Agent, 500",6,19,Player 2
Random,"RL Agent, 500",24,1,Player 1
Random,"RL Agent, 500",17,8,Player 1
"RL Agent, 1000",Random,17,8,Player 1
"RL Agent, 1000",Random,11,14,Player 2
"RL Agent, 1000",Random,22,3,Player 1
"RL Agent, 1000",Random,12,13,Player 2
"RL Agent, 1000",Random,21,4,Player 1
"RL Agent, 1000",Random,1,24,Player 2
"RL Agent, 1000",Random,7,18,Player 2
"RL Agent, 1000",Random,11,14,Player 2
"RL Agent, 1000",Random,11,14,Player 2
"RL Agent, 1000",Random,21,4,Player 1
Random,"RL Agent, 1000",19,6,Player 1
Random,"RL Agent, 1000",6,19,Player 2
Random,"RL Agent, 1000",21,4,Player 1
Random,"RL Agent, 1000",18,7,Player 1
Random,"RL Agent, 1000",20,5,Player 1
Random,"RL Agent, 1000",11,14,Player 2
Random,"RL Agent, 1000",16,9,Player 1
Random,"RL Agent, 1000",19,6,Player 1
Random,"RL Agent, 1000",14,11,Player 1
Random,"RL Agent, 1000",3,22,Player 2
